y1_y1,y1_y2,y2_y1,y2_y2
2.325712,-1.427502,-1.427502,1.2877378
0.708143,0.027355466,0.027355466,0.7784732
0.6280199,-0.76683813,-0.76683813,2.298606
0.7642789,-0.06395477,-0.06395477,0.6896366
0.79657316,-0.3372669,-0.3372669,0.6203792
0.52251387,0.031213596,0.031213596,0.7210147
1.3940945,-0.9987473,-0.9987473,2.1704662
0.31279716,0.027059495,0.027059495,0.46874508
1.0367968,0.3803333,0.3803333,1.1682476
0.70607096,0.10768107,0.10768107,0.35825527
0.5883186,-0.015948897,-0.015948897,0.54399705
0.3754463,-0.24156964,-0.24156964,0.65505826
1.3843205,-0.35439736,-0.35439736,0.5022316
0.47945553,0.15041725,0.15041725,0.59151405
0.41756698,-0.21693161,-0.21693161,0.41585314
0.5737429,-0.24896546,-0.24896546,0.6020941
2.208932,2.2772098,2.2772098,2.9567866
0.18073387,0.05793735,0.05793735,0.42442563
0.71698767,-0.08945575,-0.08945575,0.28337938
1.1628067,-0.1140562,-0.1140562,0.46767038
0.5502491,-0.9943609,-0.9943609,3.3266113
1.4125459,0.19532645,0.19532645,0.3056821
0.95565647,0.34579578,0.34579578,0.5806175
0.70105827,-0.38185012,-0.38185012,0.71566236
1.0598934,-0.33298787,-0.33298787,0.48333353
0.27680212,-0.03214168,-0.03214168,0.5449824
0.77334845,-0.026489109,-0.026489109,0.45953488
0.45853296,0.32182634,0.32182634,0.76206493
0.26838788,0.0015369903,0.0015369903,1.0893167
0.5706652,0.64551055,0.64551055,6.9989657
0.3804644,0.03042897,0.03042897,0.738501
0.46170896,-0.1045885,-0.1045885,0.4566844
1.2729746,-0.4625753,-0.4625753,0.778667
0.30413473,-0.13691103,-0.13691103,0.65384954
0.67107093,-0.3360592,-0.3360592,0.6115442
0.7328579,-0.3990566,-0.3990566,0.65398353
0.27781847,-0.1033652,-0.1033652,1.6282943
0.20735796,0.13335879,0.13335879,0.74015284
0.6430314,-0.12682487,-0.12682487,1.2071035
0.56993896,0.13964047,0.13964047,0.35923678
2.3694727,0.0102361515,0.0102361515,0.68083596
0.47813144,0.12575673,0.12575673,0.21868722
0.54442424,0.21619493,0.21619493,1.6234498
0.675383,-0.5953099,-0.5953099,1.1181135
0.631231,0.015889438,0.015889438,0.5972951
0.78286403,0.4098824,0.4098824,0.56683755
1.3705995,-0.07673242,-0.07673242,0.81301445
0.30718493,0.010229443,0.010229443,0.40499488
0.37111124,-0.16197228,-0.16197228,0.7770363
1.0299884,-0.22824816,-0.22824816,0.45388117
