y1_y1,y1_y2,y1_y3,y2_y1,y2_y2,y2_y3,y3_y1,y3_y2,y3_y3
0.91502017,0.2507385,0.19225425,0.2507385,1.5689486,-0.4682333,0.19225425,-0.4682333,0.50505376
1.089526,0.12547149,0.66078097,0.12547149,0.40627894,0.0016346447,0.66078097,0.0016346447,0.62270683
0.5270297,0.048017837,-0.14534365,0.048017837,0.6415895,-0.3979395,-0.14534365,-0.3979395,0.6898443
2.074075,-0.387551,-1.0486499,-0.387551,0.72184217,0.54566246,-1.0486499,0.54566246,1.0450729
0.44560653,-0.23728651,0.3945745,-0.23728651,0.8775031,-0.040830873,0.3945745,-0.040830873,1.2715485
0.35940358,-0.044831317,-0.08766672,-0.044831317,0.4700609,-0.23088726,-0.08766672,-0.23088726,0.6224264
0.7410518,-0.43254054,0.2687133,-0.43254054,1.3237989,-0.97842366,0.2687133,-0.97842366,0.9821828
0.5013453,-0.03354863,-0.06256146,-0.03354863,0.28321034,-0.004381123,-0.06256146,-0.004381123,0.25759223
0.50738317,0.022481587,-0.22057864,0.022481587,0.8147172,-0.3570437,-0.22057864,-0.3570437,1.0871844
0.24162461,0.021170149,0.0006364008,0.021170149,2.7412589,1.2045512,0.0006364008,1.2045512,0.837216
1.5083411,0.1114877,-0.071520165,0.1114877,0.65327847,-0.50067794,-0.071520165,-0.50067794,0.8030795
0.612217,-0.013796221,-0.049273785,-0.013796221,0.69863313,-0.1144651,-0.049273785,-0.1144651,0.7085565
3.888471,-0.4647668,0.6367695,-0.4647668,0.6180351,-0.09068666,0.6367695,-0.09068666,0.3808122
0.26447335,0.038663812,0.09438926,0.038663812,0.58781475,0.05122694,0.09438926,0.05122694,0.59180444
0.27758482,0.074521646,0.09419528,0.074521646,0.5994499,0.19962668,0.09419528,0.19962668,0.37443888
0.45729077,0.059576567,0.2100727,0.059576567,0.2154127,0.043820772,0.2100727,0.043820772,0.3735232
0.29698727,0.053146683,0.011799787,0.053146683,0.4338576,-0.4244171,0.011799787,-0.4244171,1.0588628
1.0854527,-0.49044886,-0.18823999,-0.49044886,1.043328,-0.023308257,-0.18823999,-0.023308257,0.25530818
1.3327186,-0.32472768,-0.35888666,-0.32472768,0.9332783,-0.11336703,-0.35888666,-0.11336703,0.6715471
0.5741645,-0.25845015,0.15558694,-0.25845015,0.5897012,0.23718472,0.15558694,0.23718472,0.64894974
4.5392265,2.8260777,3.4880195,2.8260777,2.8276665,2.8554711,3.4880195,2.8554711,4.9946575
0.42511293,0.29861012,-0.054142684,0.29861012,1.2765187,-0.171417,-0.054142684,-0.171417,0.25162438
0.5138641,0.2427656,0.12381094,0.2427656,0.3025982,-0.0017953729,0.12381094,-0.0017953729,0.64332205
0.6278069,-0.5009142,-0.28141403,-0.5009142,0.9894796,0.56758666,-0.28141403,0.56758666,0.8839109
0.30067363,0.299398,0.05009932,0.299398,1.7480015,0.69214725,0.05009932,0.69214725,0.8479852
0.9797841,-0.7554705,-0.5752047,-0.7554705,1.1982518,1.0326604,-0.5752047,1.0326604,1.9089656
0.5976679,0.19748148,0.1595534,0.19748148,0.50595707,0.2796502,0.1595534,0.2796502,0.5313893
0.6295396,-0.31016678,0.23208961,-0.31016678,0.6029617,-0.18074326,0.23208961,-0.18074326,0.2577411
0.35330006,0.38314945,0.6186736,0.38314945,0.9344703,1.9987147,0.6186736,1.9987147,7.7314754
0.4322524,-0.1354147,0.12949333,-0.1354147,1.0978658,-0.2833,0.12949333,-0.2833,0.4208842
0.34377092,0.08005208,0.16278683,0.08005208,0.6780392,0.072295524,0.16278683,0.072295524,0.3844007
0.70643395,-0.06088982,-0.08848462,-0.06088982,0.8200325,0.23834682,-0.08848462,0.23834682,0.42708835
0.79377574,0.4091115,-0.09215779,0.4091115,0.4735586,0.006253257,-0.09215779,0.006253257,0.38679275
0.44909772,-0.26792085,0.048175324,-0.26792085,0.64992887,-0.18318628,0.048175324,-0.18318628,0.29780173
1.5017189,0.2526921,0.6644963,0.2526921,0.5375502,0.11797383,0.6644963,0.11797383,0.48508313
0.47809932,0.104342066,0.29782698,0.104342066,0.45753008,0.031938743,0.29782698,0.031938743,0.65786433
0.55036545,0.04934133,0.08957458,0.04934133,0.168992,0.07169294,0.08957458,0.07169294,0.34638196
1.4344665,-0.53510505,0.097446166,-0.53510505,1.4793229,0.11525455,0.097446166,0.11525455,0.30237138
1.841538,1.1510283,-1.3346926,1.1510283,4.5067587,-1.6190394,-1.3346926,-1.6190394,1.777323
0.4377398,-0.5076886,0.10838523,-0.5076886,2.4518833,-0.56723493,0.10838523,-0.56723493,0.4986966
0.75193286,-0.61856467,-0.012467351,-0.61856467,3.2363315,1.4406854,-0.012467351,1.4406854,1.651457
0.54581827,0.14767827,-0.122268036,0.14767827,0.5000077,-0.3319283,-0.122268036,-0.3319283,0.74451697
2.1350234,0.60983515,0.3814166,0.60983515,1.1153152,0.33545598,0.3814166,0.33545598,1.6769708
0.55236435,-0.2904713,-0.0009946577,-0.2904713,1.1197542,-0.36207792,-0.0009946577,-0.36207792,0.46209463
0.84379697,0.045751814,0.17144074,0.045751814,0.33840275,-0.10463108,0.17144074,-0.10463108,0.37359077
0.5556057,0.04505828,0.08146949,0.04505828,0.33083615,0.13153233,0.08146949,0.13153233,0.49079826
1.6388358,0.4569807,0.018634597,0.4569807,0.5858302,0.12382397,0.018634597,0.12382397,0.49517515
0.8204941,-0.43801892,0.020936651,-0.43801892,0.4313058,0.019493401,0.020936651,0.019493401,0.49560884
0.98195285,0.03447459,0.5345616,0.03447459,0.52213585,0.15498497,0.5345616,0.15498497,0.9936867
0.3115383,-0.084154084,-0.003236351,-0.084154084,0.4580892,0.24208982,-0.003236351,0.24208982,1.0164654
