parameter1,parameter2,parameter3
4,0,10
4,0,10
4.098019903,-0.031614895,9.838213051
4.098019903,-0.031614895,9.838213051
4.241759401,-0.562243658,9.78008261
4.241759401,-0.562243658,9.78008261
4.303564464,-0.320308098,9.623048199
4.303564464,-0.320308098,9.623048199
4.303564464,-0.320308098,9.623048199
4.303564464,-0.320308098,9.623048199
4.303564464,-0.320308098,9.623048199
4.268165643,-0.909277959,10.041533
4.334739717,-0.393476955,10.22354749
4.348961493,0.247280723,10.4183744
4.355020607,0.951672555,10.6965527
4.328438031,0.291097968,10.78117401
4.328438031,0.291097968,10.78117401
4.373147108,0.024331435,10.62999963
4.373147108,0.024331435,10.62999963
4.47371816,0.490538747,11.15981394
4.469106179,0.939080639,10.6643075
4.5443731,1.037686182,10.01245071
4.580573705,1.189311974,10.2241204
4.580573705,1.189311974,10.2241204
4.580573705,1.189311974,10.2241204
4.442429384,0.644633582,10.44617252
4.487556782,0.456034941,10.49780382
4.467678739,0.541594964,10.66112642
4.584987167,0.788924906,11.3967618
4.607437736,1.284768842,11.301813
4.732065628,0.302446901,11.14252188
4.644836946,0.593818261,11.28159931
4.651622276,0.960662067,11.43929917
4.659368048,0.886315257,11.28509501
4.710788514,0.155134655,11.07473451
4.710788514,0.155134655,11.07473451
4.692089459,0.541761708,10.98868175
4.863246862,0.22232524,11.02115421
4.967804304,-0.337984693,11.01431878
4.967804304,-0.337984693,11.01431878
4.991247559,-0.418855627,10.7195664
5.018232976,0.381675104,11.20067245
4.932353796,1.027477749,10.63635874
4.822602804,1.38364887,10.1794844
4.810615105,0.835591749,10.44005357
4.810615105,0.835591749,10.44005357
4.785886956,1.169978969,10.6630317
4.785886956,1.169978969,10.6630317
4.73669498,1.240251109,11.02743318
4.90579109,1.491359805,10.59099108
5.00949045,1.080220806,11.07670398
4.994594865,0.728717508,10.95161665
4.994594865,0.728717508,10.95161665
4.98677587,0.159513938,10.9913046
4.988727023,0.52596506,10.96015998
5.155126245,1.404496002,10.60297817
5.213004164,0.660785856,10.77637043
5.153573339,0.544817495,10.85970934
5.115246513,0.115992669,10.46345254
5.147295731,0.212824468,10.45439632
5.159611856,0.330497641,10.76705011
5.094026464,-0.265194286,10.17897137
5.138325314,0.749128481,10.43332926
5.276764041,0.820035501,10.70157698
5.276764041,0.820035501,10.70157698
5.276764041,0.820035501,10.70157698
5.216863812,0.300390325,10.90940265
5.157785134,0.900327354,10.92756402
5.157785134,0.900327354,10.92756402
5.323671855,1.133090307,11.20457032
5.24384057,2.012593433,11.42835529
5.262597481,2.071265101,11.60464328
5.215772746,1.482282527,11.58073403
5.247269904,0.479516407,11.15455499
5.298823529,0.857019561,10.98782066
5.284865258,1.010976591,11.21668127
5.284865258,1.010976591,11.21668127
5.281667301,1.431105921,11.1687261
5.262732632,1.524935167,11.4442462
5.262732632,1.524935167,11.4442462
5.339736781,0.952521711,11.47999351
5.459932297,1.085300069,11.18583296
5.459932297,1.085300069,11.18583296
5.459932297,1.085300069,11.18583296
5.395459621,1.002516948,11.34027362
5.390022907,1.281512596,11.14864884
5.445556056,1.245056119,11.39835315
5.302160073,0.885679192,11.48521172
5.302160073,0.885679192,11.48521172
5.302160073,0.885679192,11.48521172
5.302160073,0.885679192,11.48521172
5.302160073,0.885679192,11.48521172
5.28512141,1.307663979,11.69941637
5.347505638,0.889056073,11.62785691
5.385434586,1.470389556,11.72124502
5.385434586,1.470389556,11.72124502
5.36043285,1.845717425,12.06894827
5.36043285,1.845717425,12.06894827
5.316290201,1.586405748,11.5759092
5.400922299,1.498545347,11.00968138
5.552596826,0.940679735,11.13693572
5.421752791,1.306618114,10.87703689
5.397149961,1.744242278,10.77358725
5.301895024,2.171908118,10.87129393
5.213052409,2.175144035,10.97878085
5.195232564,2.396774578,11.45650168
5.17802446,2.152145957,11.74091923
5.259368465,1.904577779,11.67610062
5.259368465,1.904577779,11.67610062
5.259368465,1.904577779,11.67610062
5.259368465,1.904577779,11.67610062
5.302808726,1.103518653,11.49737422
5.372613327,0.909591324,11.25252152
5.407147727,0.520623484,10.65497579
5.377031935,-0.059342348,10.24845864
5.396525776,0.202897832,9.698659851
5.396525776,0.202897832,9.698659851
5.310809683,0.409617037,9.202532448
5.310809683,0.409617037,9.202532448
5.268626295,0.592670021,9.683678978
5.40235023,0.546631938,9.594943158
5.231187476,0.037956752,9.638909779
5.058664502,-0.054538187,10.22352225
5.20564013,0.264426594,9.621717737
5.114873862,-0.202753157,8.923547004
5.114873862,-0.202753157,8.923547004
5.114873862,-0.202753157,8.923547004
5.077212095,-0.09406259,9.110396006
5.075052176,-0.429596289,8.990950671
5.063897752,-0.316607998,9.254546271
5.120830711,-0.475444091,9.496350827
5.135813133,-0.275378986,8.834373073
5.254551586,-0.479854148,9.33872206
5.306673814,-0.512586738,9.2342562
5.343136567,-0.504257511,9.318042831
5.389092214,-0.253850972,9.664070213
5.389092214,-0.253850972,9.664070213
5.32460525,0.037573761,10.01597138
5.476977005,0.087452662,9.859968563
5.553080273,-0.240430725,10.01137168
5.553080273,-0.240430725,10.01137168
5.553080273,-0.240430725,10.01137168
5.666567526,0.165223433,10.13374644
5.670986386,-0.404290893,9.837673846
5.665125931,-0.465026848,9.677944607
5.66129914,-0.086759673,9.388140627
5.609873355,-0.319974985,9.398003142
5.609873355,-0.319974985,9.398003142
5.589304237,-1.221088975,9.036692022
5.587520125,0.117415557,8.976034928
