marker,chrom,pos
id1000001,1,13147
id1000003,1,73192
id1000005,1,74969
id1000007,1,75852
id1000008,1,75953
id1000011,1,91016
id1000013,1,146625
id1000015,1,149005
id1000016,1,149754
id1000020,1,151492
id1000024,1,152899
id1000026,1,172755
id1000027,1,172923
id1000030,1,173692
id1000043,1,195327
id1000051,1,199011
id1000057,1,202999
id1000058,1,203126
id1000062,1,205867
id1000074,1,212693
id1000075,1,212714
id1000079,1,257707
id1000080,1,260829
id1000086,1,263568
id1000087,1,263620
id1000091,1,266818
wd1000022,1,267840
wd1000029,1,293504
id1000093,1,320576
id1000104,1,325596
id1000109,1,327764
id1000115,1,330743
id1000122,1,334191
id1000130,1,337497
id1000131,1,337759
id1000139,1,347351
id1000159,1,362376
id1000179,1,373610
id1000180,1,374285
id1000195,1,382818
id1000196,1,382993
id1000211,1,400383
id1000215,1,400599
id1000217,1,414855
id1000220,1,421263
id1000223,1,422620
id1000232,1,424825
id1000234,1,425527
ud1000033,1,478157
id1000255,1,481214
id1000256,1,481261
id1000259,1,481948
id1000264,1,503289
id1000280,1,513225
id1000283,1,514673
id1000309,1,522844
id1000313,1,524146
id1000315,1,524466
id1000324,1,535093
id1000327,1,539150
id1000328,1,539282
id1000337,1,550974
id1000341,1,551907
id1000350,1,553803
id1000354,1,556663
id1000358,1,558522
ud1000037,1,565800
id1000371,1,585888
id1000386,1,587347
id1000392,1,588688
id1000399,1,589428
id1000407,1,591188
id1000420,1,604886
id1000423,1,605246
id1000431,1,608381
id1000435,1,621002
id1000445,1,624141
id1000452,1,626883
id1000457,1,627774
id1000478,1,634206
id1000482,1,635265
id1000486,1,636795
id1000503,1,645772
id1000506,1,646119
id1000528,1,652255
id1000529,1,652340
id1000542,1,654362
id1000547,1,656330
id1000556,1,657891
id1000560,1,677092
id1000561,1,684232
id1000568,1,716463
id1000583,1,720673
id1000585,1,721567
id1000589,1,721981
id1000590,1,722307
id1000595,1,722787
id1000603,1,723562
id1000618,1,726631
id1000660,1,740171
id1000661,1,740575
id1000662,1,740630
id1000665,1,741009
id1000668,1,741205
id1000673,1,742351
id1000685,1,743793
id1000686,1,743887
id1000711,1,789202
id1000719,1,793207
id1000721,1,841232
id1000723,1,841564
id1000731,1,842939
id1000744,1,846800
id1000759,1,851786
id1000770,1,852979
id1000771,1,853111
id1000773,1,853376
id1000776,1,854846
id1000781,1,857144
id1000783,1,857563
id1000801,1,860731
id1000806,1,863174
ud1000052,1,874021
id1000835,1,921195
id1000841,1,922418
id1000846,1,923297
id1000848,1,923560
id1000852,1,923986
id1000854,1,924152
id1000855,1,924341
id1000856,1,924398
id1000857,1,924532
id1000858,1,924715
id1000866,1,927608
id1000875,1,929007
id1000876,1,929166
id1000881,1,961973
id1000885,1,1003415
id1000886,1,1003600
id1000894,1,1004726
id1000907,1,1007177
id1000911,1,1008219
id1000922,1,1009815
id1000923,1,1010064
ud1000059,1,1012640
id1000929,1,1038174
id1000934,1,1039577
id1000940,1,1039823
id1000941,1,1040322
id1000947,1,1042817
id1000948,1,1042843
id1000955,1,1043946
id1000956,1,1044028
id1000960,1,1045699
id1000965,1,1052989
id1000967,1,1053413
id1000968,1,1053585
id1000974,1,1058381
id1000977,1,1059903
id1000980,1,1072211
id1000987,1,1087665
id1000994,1,1090580
id1000996,1,1091901
id1000999,1,1093786
id1001003,1,1094263
id1001006,1,1094743
id1001009,1,1095730
id1001015,1,1120560
