wStart,wEnd,wSize,prGenVar,WPPA,PPA_t
"""id1000001""","""id1000744""",100,0.34,0.24,0.366493506
"""id1000759""","""id1001229""",100,3.86,0.86,0.88
"""id1001235""","""id1001810""",100,0.21,0.1,0.227819549
"""id1001811""","""id1002529""",100,0.21,0.1,0.227340824
"""id1002531""","""id1003213""",100,0.51,0.18,0.303111111
"""ud1000229""","""id1003757""",100,1.12,0.26,0.39047619
"""id1003766""","""id1004302""",100,0.5,0.22,0.34125
"""id1004305""","""id1004960""",100,0.24,0.06,0.20539185
"""id1004961""","""id1005312""",100,0.13,0.12,0.242649573
"""dd1000065""","""id1005415""",100,0.32,0.16,0.277647059
"""id1005416""","""dd1000580""",100,0.22,0.14,0.258423645
"""id1005555""","""id1005683""",100,0.37,0.24,0.364871795
"""id1005684""","""id1005847""",100,0.37,0.1,0.226865672
"""id1005848""","""id1006137""",100,0.55,0.22,0.34
"""id1006144""","""id1006872""",100,0.36,0.18,0.302205882
"""id1006880""","""id1007443""",100,0.14,0.12,0.24212766
"""id1007445""","""id1007933""",100,0.57,0.18,0.301313869
"""id1007951""","""id1008477""",100,0.52,0.22,0.33877551
"""id1008482""","""id1008912""",100,0.44,0.16,0.276959064
"""id1008916""","""id1009650""",100,0.23,0.12,0.241610169
"""id1009659""","""id1010249""",100,0.29,0.14,0.257843137
"""id1010252""","""id1010722""",100,0.22,0.1,0.226394052
"""id1010724""","""id1011160""",100,0.21,0.12,0.241097046
"""ud1000830""","""id1011750""",100,0.45,0.08,0.212516556
"""id1011758""","""id1012400""",100,0.3,0.16,0.27627907
"""id1012405""","""id1012925""",100,1.21,0.32,0.464571429
"""id1012929""","""id1013342""",100,1.89,0.44,0.636666667
"""id1013343""","""id1014103""",100,2.09,0.5,0.691111111
"""id1014105""","""id1014646""",100,0.51,0.2,0.320172414
"""id1014655""","""id1015197""",100,0.73,0.32,0.460555556
"""id1015216""","""id1015707""",100,0.55,0.32,0.456756757
"""id1015711""","""id1016292""",100,0.45,0.24,0.363291139
"""id1016294""","""id1016736""",100,0.15,0.1,0.225925926
"""id1016741""","""id1017357""",100,0.28,0.16,0.275606936
"""id1017361""","""id1017992""",100,0.35,0.24,0.36175
"""id1017993""","""id1018643""",100,0.24,0.1,0.225461255
"""id1018645""","""id1019259""",100,1,0.44,0.621538462
"""id1019260""","""id1019985""",100,0.24,0.12,0.240588235
"""id1020000""","""id1020529""",100,0.21,0.1,0.225
"""id1020530""","""id1020938""",100,0.46,0.24,0.360246914
"""id1020943""","""id1021411""",100,2.68,0.42,0.58625
"""id1021417""","""id1022002""",100,0.5,0.16,0.274942529
"""id1022011""","""id1022672""",100,0.66,0.16,0.274285714
"""id1022674""","""id1023333""",100,0.38,0.16,0.273636364
"""id1023338""","""id1023964""",100,0.15,0.08,0.212079208
"""id1023967""","""id1024499""",100,0.42,0.38,0.548
"""id1024500""","""id1025060""",100,0.52,0.36,0.525217391
"""id1025062""","""id1025619""",100,0.11,0.12,0.240083682
"""id1025630""","""id1026164""",100,0.48,0.2,0.319145299
"""id1026169""","""id1026698""",100,0.12,0.06,0.2049375
"""id1026700""","""id1027164""",100,0.22,0.14,0.257268293
"""id1027186""","""id1027467""",100,0.19,0.1,0.224542125
"""id1027468""","""id1027575""",100,0.29,0.12,0.239583333
"""id1027576""","""dd1001979""",100,0.09,0.04,0.200911854
"""dd1001980""","""dd1002210""",100,0.42,0.24,0.358780488
"""dd1002211""","""id1027990""",100,0.2,0.12,0.239087137
"""id1027991""","""dd1002700""",100,0.09,0.04,0.200424242
"""dd1002701""","""id1028225""",100,0.2,0.18,0.300434783
"""id1028249""","""id2000228""",100,0.22,0.22,0.337575758
"""id2000235""","""id2000711""",100,0.2,0.08,0.211644737
"""id2000727""","""id2001301""",100,0.23,0.1,0.224087591
"""id2001303""","""id2001772""",100,0.26,0.12,0.238595041
"""id2001775""","""id2002293""",100,0.56,0.18,0.299568345
"""id2002295""","""id2002736""",100,1.19,0.28,0.411698113
"""ud2000262""","""id2003156""",100,0.44,0.18,0.298714286
"""id2003164""","""id2003678""",100,0.21,0.12,0.238106996
"""id2003696""","""id2004176""",100,0.23,0.14,0.256699029
"""id2004183""","""id2004660""",100,0.57,0.2,0.318135593
"""id2004662""","""id2005152""",100,0.42,0.18,0.29787234
"""id2005154""","""id2005562""",100,0.38,0.22,0.3364
"""id2005569""","""id2005999""",100,0.55,0.24,0.357349398
"""id2006006""","""id2006531""",100,0.26,0.1,0.223636364
"""id2006533""","""id2006933""",100,0.46,0.18,0.297042254
"""id2006943""","""id2007343""",100,0.41,0.18,0.296223776
"""id2007346""","""id2007662""",100,0.24,0.12,0.237622951
"""ud2001090""","""id2008161""",100,0.2,0.1,0.223188406
"""id2008164""","""id2008705""",100,0.15,0.12,0.237142857
"""id2008707""","""id2009186""",100,0.43,0.14,0.256135266
"""id2009190""","""id2009720""",100,0.09,0.1,0.222743682
"""id2009738""","""id2010357""",100,0.2,0.1,0.222302158
"""id2010361""","""id2010777""",100,0.25,0.14,0.255576923
"""id2010781""","""id2011179""",100,0.15,0.12,0.236666667
"""id2011182""","""id2011597""",100,0.38,0.16,0.27299435
"""id2011598""","""id2012086""",100,0.1,0.08,0.211213115
"""ud2001640""","""id2012541""",100,0.28,0.1,0.221863799
"""id2012558""","""id2013052""",100,0.18,0.1,0.221428571
"""id2013057""","""id2013517""",100,0.57,0.26,0.3884375
"""id2013519""","""id2013980""",100,0.22,0.12,0.236194332
"""id2014002""","""id2014456""",100,0.52,0.2,0.317142857
"""id2014457""","""id2014898""",100,0.63,0.2,0.316166667
"""id2014907""","""id2015368""",100,0.04,0.02,0.198443114
"""id2015377""","""id2015833""",100,0.2,0.16,0.272359551
"""id2015848""","""id2016237""",100,0.29,0.18,0.295416667
"""id2016242""","""id3000119""",100,0.15,0.1,0.220996441
"""id3000120""","""id3000711""",100,1.16,0.34,0.486
"""id3000715""","""id3001123""",100,0.85,0.26,0.386461538
"""id3001126""","""id3001556""",100,0.59,0.2,0.315206612
"""id3001566""","""id3002052""",100,1.61,0.3,0.432
"""id3002059""","""id3002718""",100,3.78,0.44,0.608571429
"""id3002721""","""ud3000292""",100,1.42,0.32,0.453157895
"""id3003215""","""id3003651""",100,0.32,0.18,0.29462069
"""id3003653""","""id3004016""",100,0.59,0.18,0.293835616
"""id3004022""","""id3004389""",100,0.67,0.32,0.44974359
"""id3004393""","""ud3000511""",100,0.5,0.24,0.355952381
"""id3004753""","""id3005207""",100,0.45,0.26,0.384545455
"""id3005212""","""id3005717""",100,0.27,0.14,0.255023923
"""id3005721""","""id3006161""",100,0.16,0.14,0.25447619
"""id3006163""","""id3006665""",100,1.01,0.2,0.314262295
"""id3006666""","""id3007106""",100,0.52,0.3,0.429130435
"""id3007109""","""id3007517""",100,0.27,0.16,0.271731844
"""id3007521""","""id3007966""",100,0.24,0.16,0.271111111
"""id3007970""","""id3008354""",100,0.57,0.36,0.518333333
"""id3008355""","""id3008781""",100,0.49,0.2,0.313333333
"""id3008782""","""id3009196""",100,0.32,0.06,0.204485981
"""wd3000949""","""id3009630""",100,0.23,0.1,0.220567376
"""id3009631""","""id3010184""",100,0.24,0.1,0.220141343
"""id3010188""","""id3010681""",100,1.35,0.36,0.512
